Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
MISSOURI,2017,14,2,,6,,22,,46,,55,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2017,14,,-,0,,5,,2,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2017,14,,-,1,,3,,11,,8,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEVADA,2017,14,,-,0,,2,,3,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2017,14,,-,6,,26,,77,,75,,,-,0,,2,,,-,7,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
IOWA,2017,14,,-,9,,65,,57,,74,,,-,0,,5,,,-,3,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VERMONT,2017,14,1,,1,,11,,8,,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WISCONSIN,2017,14,1,,11,,62,,72,,120,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2017,14,,-,3,,9,,19,,29,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW ENGLAND,2017,14,5,,8,,24,,65,,61,,,-,0,,2,,,-,11,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,14,5,,19,,44,,130,,188,,,-,1,,4,,,-,6,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,14,1,,9,,41,,83,,108,,,-,0,,2,,4,,3,,,-,0,,0,,,-,,-,,
INDIANA,2017,14,1,,2,,9,,26,,57,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2017,14,,-,0,,1,,,-,,-,,-,1,,8,,6,,101,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
S. ATLANTIC,2017,14,15,,25,,82,,237,,335,,,-,1,,7,,,-,54,,,-,0,,1,,,-,,-,,
NEW YORK,2017,14,4,,5,,25,,39,,42,,,-,0,,3,,,-,7,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEBRASKA,2017,14,1,,3,,16,,25,,38,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2017,14,,-,0,,2,,,-,,-,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,14,,-,2,,7,,14,,27,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2017,14,3,,13,,33,,83,,106,,,-,0,,4,,,-,4,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OREGON,2017,14,2,,5,,26,,48,,70,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MAINE,2017,14,1,,1,,4,,14,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2017,14,,-,2,,10,,20,,32,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
SOUTH CAROLINA,2017,14,,-,2,,8,,15,,24,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MOUNTAIN,2017,14,10,,15,,122,,130,,131,,,-,0,,4,,,-,11,,,-,0,,1,,,-,,-,,
MARYLAND,2017,14,3,,2,,10,,16,,18,,,-,0,,1,,,-,8,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ALASKA,2017,14,,-,0,,1,,3,,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ILLINOIS,2017,14,,-,5,,50,,39,,50,,,-,0,,4,,1,,12,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2017,14,,-,3,,17,,15,,41,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
CALIFORNIA,2017,14,1,,8,,17,,69,,83,,,-,2,,14,,3,,63,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2017,14,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2017,14,10,,10,,31,,86,,123,,,-,0,,2,,,-,22,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2017,14,2,,1,,5,,11,,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2017,14,,-,1,,7,,1,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
RHODE ISLAND,2017,14,,-,0,,2,,2,,2,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK CITY,2017,14,3,,4,,12,,42,,28,,,-,0,,7,,,-,37,,,-,0,,0,,,-,,-,,
UTAH,2017,14,,-,2,,24,,17,,39,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
SOUTH DAKOTA,2017,14,,-,3,,7,,19,,35,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2017,14,,-,1,,19,,,-,25,,,-,0,,6,,1,,23,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
PACIFIC,2017,14,3,,14,,53,,124,,163,,,-,2,,14,,8,,126,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,14,,N,0,,0,,,N,,N,,-,0,,2,,6,,,-,,-,0,,0,,,-,,-,,
GUAM,2017,14,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2017,14,,-,1,,6,,9,,10,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
W.N. CENTRAL,2017,14,3,,24,,106,,161,,230,,,-,0,,8,,,-,9,,,-,0,,0,,,-,,-,,
HAWAII,2017,14,,-,0,,3,,,-,,-,,-,0,,1,,2,,51,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2017,14,2,,1,,4,,16,,16,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KANSAS,2017,14,,-,2,,7,,10,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2017,14,2,,4,,13,,24,,41,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2017,15,1,,2,,7,,17,,31,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,15,1,,3,,82,,28,,14,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MAINE,2017,15,,-,1,,4,,14,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2017,15,,-,3,,7,,20,,38,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW YORK CITY,2017,15,4,,4,,12,,46,,28,,,-,0,,7,,,-,37,,,-,0,,0,,,-,,-,,
IOWA,2017,15,,-,9,,65,,57,,81,,,-,0,,5,,,-,3,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TENNESSEE,2017,15,1,,2,,10,,21,,32,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WASHINGTON,2017,15,,-,0,,34,,4,,6,,,-,0,,2,,3,,8,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2017,15,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PACIFIC,2017,15,4,,14,,53,,142,,176,,,-,2,,13,,9,,131,,,-,0,,1,,,-,,-,,
INDIANA,2017,15,,-,3,,10,,28,,64,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MOUNTAIN,2017,15,8,,15,,121,,142,,134,,,-,0,,4,,,-,11,,,-,0,,1,,,-,,-,,
OHIO,2017,15,3,,12,,207,,91,,97,,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MID. ATLANTIC,2017,15,11,,20,,85,,206,,256,,,-,2,,10,,3,,74,,,-,0,,0,,,-,,-,,
MISSISSIPPI,2017,15,1,,1,,3,,13,,8,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGIN ISL.,2017,15,,-,0,,0,,,-,,-,,-,0,,3,,1,,13,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CONNECTICUT,2017,15,1,,1,,6,,10,,12,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
AMER. SAMOA,2017,15,,N,0,,0,,,N,,N,,-,0,,2,,6,,,-,,-,0,,0,,,-,,-,,
NORTH CAROLINA,2017,15,,-,3,,17,,15,,43,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
E.S. CENTRAL,2017,15,4,,9,,41,,93,,115,,,-,0,,2,,4,,4,,,-,0,,0,,,-,,-,,
DELAWARE,2017,15,,-,0,,2,,2,,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ILLINOIS,2017,15,,-,5,,50,,48,,50,,,-,0,,4,,1,,12,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2017,15,,-,0,,2,,,-,,-,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2017,15,,-,0,,2,,2,,3,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW MEXICO,2017,15,,-,1,,7,,13,,13,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2017,15,,-,1,,4,,17,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2017,15,,-,0,,1,,,-,,-,,-,1,,8,,8,,107,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW ENGLAND,2017,15,1,,8,,24,,69,,69,,,-,0,,2,,,-,11,,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2017,15,,-,1,,8,,16,,26,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,15,1,,3,,9,,20,,29,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2017,15,1,,13,,33,,86,,113,,,-,0,,4,,1,,6,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
VERMONT,2017,15,,-,1,,11,,8,,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2017,15,,-,6,,26,,77,,82,,,-,0,,2,,,-,7,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2017,15,4,,12,,47,,109,,155,,,-,0,,2,,1,,7,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2017,15,,-,1,,19,,9,,26,,,-,0,,6,,1,,23,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2017,15,,-,0,,1,,3,,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2017,15,,-,1,,7,,4,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WYOMING,2017,15,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2017,15,2,,2,,10,,24,,28,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2017,15,3,,5,,25,,42,,47,,,-,0,,3,,1,,7,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OREGON,2017,15,3,,5,,26,,57,,76,,,-,0,,2,,,-,8,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WISCONSIN,2017,15,,-,11,,62,,72,,131,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,15,,-,3,,14,,31,,35,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2017,15,,-,9,,31,,53,,126,,,-,0,,2,,,-,22,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,15,1,,4,,25,,42,,44,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2017,15,,-,0,,5,,4,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WEST VIRGINIA,2017,15,,-,0,,5,,3,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
W.N. CENTRAL,2017,15,4,,23,,106,,178,,251,,,-,0,,8,,,-,9,,,-,0,,0,,,-,,-,,
LOUISIANA,2017,15,,-,2,,7,,12,,37,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UNITED STATES,2017,15,39,,167,,758,,1481,,1975,,,-,8,,36,,23,,332,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,15,2,,24,,82,,209,,353,,,-,1,,7,,,-,53,,,-,0,,1,,,-,,-,,
MONTANA,2017,15,2,,1,,5,,14,,9,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEBRASKA,2017,15,3,,3,,16,,28,,38,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
W.S. CENTRAL,2017,15,2,,19,,44,,135,,196,,,-,1,,4,,1,,8,,,-,0,,1,,,-,,-,,
MICHIGAN,2017,15,,-,7,,25,,68,,83,,,-,0,,2,,1,,6,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2017,15,,-,0,,3,,,-,,-,,-,0,,1,,2,,50,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
CALIFORNIA,2017,15,1,,8,,17,,78,,90,,,-,2,,13,,4,,65,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
E.N. CENTRAL,2017,15,3,,37,,299,,307,,425,,,-,1,,8,,6,,29,,,-,0,,1,,,-,,-,,
UTAH,2017,15,2,,2,,23,,20,,36,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
KANSAS,2017,15,,-,2,,7,,16,,27,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2017,15,1,,2,,10,,17,,18,,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,15,1,,3,,14,,26,,45,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEVADA,2017,15,,-,0,,2,,3,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,15,1,,4,,14,,40,,25,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MISSOURI,2017,15,1,,7,,22,,53,,61,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CONNECTICUT,2017,16,,-,1,,6,,10,,12,,,-,0,,0,,,-,5,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WYOMING,2017,16,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MID. ATLANTIC,2017,16,13,,15,,65,,183,,204,,,-,2,,10,,3,,73,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,16,6,,15,,121,,150,,147,,,-,0,,4,,,-,17,,,-,0,,1,,,-,,-,,
ALASKA,2017,16,,-,0,,1,,3,,5,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
SOUTH CAROLINA,2017,16,,-,1,,8,,16,,26,,,-,0,,3,,,-,3,,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2017,16,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2017,16,,-,0,,2,,2,,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2017,16,2,,5,,25,,44,,53,,,-,0,,3,,1,,8,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
E.N. CENTRAL,2017,16,8,,26,,131,,344,,352,,,-,1,,8,,6,,30,,,-,0,,1,,,-,,-,,
OREGON,2017,16,1,,5,,26,,61,,83,,,-,0,,1,,,-,8,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
VIRGIN ISL.,2017,16,,-,0,,0,,,-,,-,,-,0,,3,,1,,13,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OKLAHOMA,2017,16,1,,3,,18,,21,,29,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2017,16,,-,1,,19,,9,,26,,,-,0,,5,,1,,18,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2017,16,,-,1,,7,,13,,14,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2017,16,,-,3,,15,,28,,47,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEVADA,2017,16,,-,0,,2,,6,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
C.N.M.I.,2017,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2017,16,2,,2,,23,,22,,40,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
FLORIDA,2017,16,,-,10,,31,,82,,138,,,-,0,,2,,,-,22,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2017,16,,-,7,,22,,55,,65,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2017,16,,-,2,,7,,17,,34,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
S. ATLANTIC,2017,16,1,,24,,82,,240,,371,,,-,1,,8,,,-,54,,,-,0,,1,,,-,,-,,
NORTH CAROLINA,2017,16,,-,3,,17,,15,,44,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
UNITED STATES,2017,16,41,,155,,598,,1577,,1937,,,-,9,,36,,23,,342,,,-,0,,1,,,-,,-,,
NEW HAMPSHIRE,2017,16,,-,1,,7,,7,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2017,16,2,,3,,10,,27,,33,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2017,16,,-,2,,7,,16,,29,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2017,16,,-,0,,1,,,-,,-,,-,1,,8,,9,,109,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WASHINGTON,2017,16,,-,0,,34,,4,,6,,,-,0,,2,,3,,8,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2017,16,5,,0,,12,,96,,,-,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW YORK CITY,2017,16,8,,4,,12,,54,,34,,,-,0,,7,,,-,40,,,-,0,,0,,,-,,-,,
TEXAS,2017,16,1,,13,,33,,89,,124,,,-,0,,4,,1,,6,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
COLORADO,2017,16,2,,4,,14,,42,,27,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
INDIANA,2017,16,,-,3,,10,,28,,67,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2017,16,,-,5,,50,,59,,53,,,-,0,,4,,1,,12,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2017,16,,-,1,,5,,14,,10,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2017,16,2,,8,,17,,83,,92,,,-,2,,13,,4,,67,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2017,16,3,,7,,27,,76,,91,,,-,0,,2,,1,,7,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
WEST VIRGINIA,2017,16,,-,0,,5,,3,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2017,16,,-,0,,2,,,-,,-,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
LOUISIANA,2017,16,,-,2,,7,,12,,39,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2017,16,3,,11,,62,,79,,143,,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2017,16,,-,9,,65,,67,,86,,,-,0,,5,,,-,3,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2017,16,,-,0,,2,,2,,3,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
AMER. SAMOA,2017,16,,N,0,,0,,,N,,N,,-,0,,4,,18,,,-,,-,0,,0,,,-,,-,,
ARIZONA,2017,16,2,,3,,82,,29,,16,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2017,16,,-,7,,25,,82,,89,,,-,0,,2,,1,,6,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2017,16,,-,1,,11,,10,,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,16,2,,3,,16,,30,,42,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTH DAKOTA,2017,16,,-,0,,5,,4,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2017,16,1,,3,,14,,33,,39,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MARYLAND,2017,16,1,,2,,10,,17,,19,,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
