Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2016","Dengue§, Cum 2016, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2016","Dengue Severe, Cum 2016, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,59,,118,,373,,59,,112,,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2016,1,1,,6,,21,,1,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,1,8,,11,,42,,8,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2016,1,4,,1,,13,,4,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,NEW YORK CITY,
E.N. CENTRAL,2016,1,13,,24,,84,,13,,15,,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2016,1,5,,13,,55,,5,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2016,1,13,,28,,95,,13,,48,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
DIST. OF COL.,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,1,3,,10,,66,,3,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,1,2,,16,,45,,2,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2016,1,6,,9,,24,,6,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2016,1,8,,11,,49,,8,,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2016,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
WYOMING,2016,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
GEORGIA,2016,1,4,,6,,18,,4,,12,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2016,1,2,,1,,5,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IOWA,2016,1,1,,5,,20,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2016,1,1,,0,,3,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2016,1,1,,3,,12,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2016,1,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
CALIFORNIA,2016,1,2,,6,,15,,2,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2016,1,,-,0,,5,,,-,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2016,1,,-,1,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MAINE,2016,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2016,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2016,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WISCONSIN,2016,1,2,,8,,31,,2,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
PENNSYLVANIA,2016,1,3,,5,,17,,3,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
HAWAII,2016,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
CONNECTICUT,2016,1,,-,1,,10,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NORTH CAROLINA,2016,1,,-,1,,62,,,-,24,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2016,1,6,,4,,10,,6,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
VIRGINIA,2016,1,,-,3,,15,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2016,1,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
WEST VIRGINIA,2016,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2016,1,2,,4,,12,,2,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
INDIANA,2016,1,,-,3,,9,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2016,1,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2016,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ILLINOIS,2016,1,,-,3,,55,,,-,1,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
RHODE ISLAND,2016,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2016,1,2,,4,,22,,2,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2016,1,3,,1,,8,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
UTAH,2016,1,1,,3,,7,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WASHINGTON,2016,1,,-,0,,33,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2016,1,,-,2,,7,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2016,1,2,,1,,5,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2016,1,4,,13,,57,,4,,9,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEBRASKA,2016,1,4,,3,,21,,4,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2016,1,,-,2,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
KANSAS,2016,1,,-,2,,16,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OHIO,2016,1,9,,6,,26,,9,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NORTH DAKOTA,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2016,1,,-,1,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALABAMA,2016,1,,-,4,,41,,,-,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2016,1,2,,12,,32,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MARYLAND,2016,1,3,,1,,7,,3,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
SOUTH DAKOTA,2016,1,,-,3,,19,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW YORK,2016,1,1,,4,,20,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW MEXICO,2016,1,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
UNITED STATES,2016,2,44,,119,,374,,120,,224,,,-,1,,6,,,-,2,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2016,2,,-,6,,21,,1,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,2,5,,11,,42,,13,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2016,2,3,,2,,13,,7,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,NEW YORK CITY,
E.N. CENTRAL,2016,2,4,,24,,89,,22,,31,,,-,0,,4,,,-,2,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2016,2,2,,13,,55,,11,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2016,2,22,,26,,95,,39,,73,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
DIST. OF COL.,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,2,2,,10,,66,,6,,21,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,2,4,,16,,45,,7,,19,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2016,2,3,,9,,24,,10,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2016,2,2,,11,,49,,11,,23,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2016,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
FLORIDA,2016,2,12,,13,,57,,16,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2016,2,3,,6,,18,,9,,22,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
NEW HAMPSHIRE,2016,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2016,2,3,,3,,23,,3,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2016,2,,-,0,,62,,,-,24,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2016,2,,-,1,,10,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2016,2,4,,6,,26,,13,,9,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MICHIGAN,2016,2,,-,4,,12,,5,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MISSOURI,2016,2,,-,0,,5,,,-,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
INDIANA,2016,2,,-,3,,9,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH CAROLINA,2016,2,3,,1,,5,,7,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2016,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2016,2,,-,4,,41,,,-,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
TENNESSEE,2016,2,,-,4,,22,,2,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2016,2,2,,2,,6,,3,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2016,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MARYLAND,2016,2,1,,1,,7,,4,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2016,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2016,2,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2016,2,,-,2,,7,,,-,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2016,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2016,2,1,,4,,20,,2,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARKANSAS,2016,2,2,,1,,4,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEBRASKA,2016,2,2,,3,,21,,6,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ILLINOIS,2016,2,,-,3,,60,,,-,4,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2016,2,,-,3,,19,,,-,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2016,2,,-,3,,12,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2016,2,,-,0,,3,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WISCONSIN,2016,2,,-,8,,31,,4,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW JERSEY,2016,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2016,2,,-,2,,16,,3,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IOWA,2016,2,,-,5,,20,,2,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2016,2,1,,5,,17,,4,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CALIFORNIA,2016,2,1,,7,,15,,3,,19,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
IDAHO,2016,2,1,,1,,8,,4,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW MEXICO,2016,2,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2016,2,,-,0,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2016,2,,-,1,,5,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2016,2,1,,1,,4,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEVADA,2016,2,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2016,2,2,,12,,32,,5,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ALASKA,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2016,2,,-,0,,33,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
HAWAII,2016,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UTAH,2016,2,1,,3,,7,,3,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WYOMING,2016,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OREGON,2016,2,1,,4,,10,,8,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
UNITED STATES,2016,2,44,,119,,374,,120,,224,,,-,1,,6,,,-,2,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2016,2,,-,6,,21,,1,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,2,5,,11,,42,,13,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2016,2,3,,2,,13,,7,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,NEW YORK CITY,
E.N. CENTRAL,2016,2,4,,24,,89,,22,,31,,,-,0,,4,,,-,2,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2016,2,2,,13,,55,,11,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2016,2,22,,26,,95,,39,,73,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
DIST. OF COL.,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,2,2,,10,,66,,6,,21,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,2,4,,16,,45,,7,,19,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2016,2,3,,9,,24,,10,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2016,2,2,,11,,49,,11,,23,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
AMER. SAMOA,2016,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
MAINE,2016,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK,2016,2,1,,4,,20,,2,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2016,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2016,2,1,,5,,17,,4,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
C.N.M.I.,2016,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
ILLINOIS,2016,2,,-,3,,60,,,-,4,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2016,2,,-,3,,9,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MASSACHUSETTS,2016,2,,-,3,,12,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2016,2,,-,1,,10,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VERMONT,2016,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2016,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2016,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MARYLAND,2016,2,1,,1,,7,,4,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MONTANA,2016,2,1,,1,,4,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2016,2,,-,2,,7,,,-,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2016,2,,-,2,,16,,3,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2016,2,3,,3,,23,,3,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2016,2,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2016,2,,-,0,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UTAH,2016,2,1,,3,,7,,3,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2016,2,2,,3,,21,,6,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2016,2,4,,6,,26,,13,,9,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
ALASKA,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2016,2,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2016,2,12,,13,,57,,16,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
