Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue, Cum 2019†","Dengue virus infections, Dengue, Cum 2019†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Cum 2019†","Dengue virus infections, Dengue-like illness, Cum 2019†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue,  Cum 2020†, flag","Dengue virus infections, Severe dengue,  Cum 2019†","Dengue virus infections, Severe dengue, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW YORK CITY,2020,12,,-,9,,,-,13,,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20201212,
ARKANSAS,2020,12,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20201244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,12,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20201227,POINT (-100.230491 44.43614)
WYOMING,2020,12,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20201256,POINT (-107.55145 42.999627)
MISSOURI,2020,12,,-,4,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20201224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,12,,-,16,,8,,21,,,-,2,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,20201209,
CALIFORNIA,2020,12,,-,18,,1,,16,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,12,,-,0,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20201237,POINT (-80.613729 38.642579)
FLORIDA,2020,12,,-,27,,19,,21,,,-,0,,,-,,-,,-,2,,,-,2,,FLORIDA,,20201231,POINT (-82.420978 28.260731)
MONTANA,2020,12,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20201252,POINT (-109.645127 47.033521)
ALABAMA,2020,10,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201022,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,10,,-,2,,2,,3,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,6,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,,-,7,,,-,7,,,-,1,,,-,,-,,-,1,,,-,,-,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,,-,7,,7,,9,,,-,1,,,-,1,,,-,1,,,-,,-,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,,-,2,,2,,2,,,-,1,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,,-,2,,4,,5,,,-,2,,,-,,-,,-,0,,,-,,-,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,,-,2,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,,-,1,,3,,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,5,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20201060,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,10,,-,33,,28,,37,,,-,2,,1,,,-,,-,2,,,-,2,,,SOUTH ATLANTIC,20201028,
PENNSYLVANIA,2020,10,,-,4,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,,-,3,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,16,,82,,2,,,-,4,,11,,2,,,-,2,,1,,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,,-,3,,2,,2,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,,-,2,,2,,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,,-,2,,3,,2,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,,-,9,,,-,10,,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,,-,4,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,,-,16,,5,,18,,,-,2,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,-,18,,1,,12,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,0,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,,-,27,,18,,19,,,-,0,,,-,,-,,-,2,,,-,2,,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,,-,4,,2,,1,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,,-,5,,3,,4,,,-,2,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,2,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,16,,83,,2,,,-,4,,11,,2,,,-,2,,1,,,-,,US TERRITORIES,20201063,
US RESIDENTS,2020,15,,-,70,,83,,126,,,-,2,,3,,5,,,-,4,,,-,2,,,US RESIDENTS,20201501,
NEW HAMPSHIRE,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20201506,POINT (-71.57139 43.680429)
NEW YORK,2020,15,,-,5,,4,,2,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20201511,POINT (-75.59655 42.921241)
PACIFIC,2020,15,,-,20,,11,,33,,,-,1,,1,,1,,,-,0,,,-,,-,,PACIFIC,20201557,
WEST SOUTH CENTRAL,2020,15,,-,10,,11,,3,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20201543,
NEBRASKA,2020,15,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20201525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,15,,-,2,,2,,2,,,-,1,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201538,
NORTH DAKOTA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20201526,POINT (-100.46931 47.446305)
NEVADA,2020,15,,-,2,,,-,,-,,-,1,,1,,,-,,-,0,,,-,,-,NEVADA,,20201553,POINT (-114.916992 39.283294)
ILLINOIS,2020,15,,-,4,,6,,2,,,-,1,,,-,1,,,-,1,,,-,,-,ILLINOIS,,20201515,POINT (-89.148632 40.124144)
IOWA,2020,15,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20201521,POINT (-93.500061 42.074659)
TEXAS,2020,15,,-,9,,7,,2,,,-,1,,,-,,-,,-,1,,,-,,-,TEXAS,,20201547,POINT (-99.317341 31.447238)
ALASKA,2020,15,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20201558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,15,,-,1,,1,,,-,,-,1,,1,,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201530,POINT (-77.016275 38.904785)
WASHINGTON,2020,15,,-,1,,3,,10,,,-,1,,1,,,-,,-,0,,,-,,-,WASHINGTON,,20201562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,15,,-,4,,3,,3,,,-,1,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
OREGON,2020,15,,-,3,,4,,2,,,-,1,,,-,1,,,-,0,,,-,,-,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,2,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,-,2,,3,,3,,,-,0,,,-,,-,,-,1,,,-,,-,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,6,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,,-,7,,,-,7,,,-,1,,,-,,-,,-,1,,,-,,-,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,15,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,,-,7,,9,,8,,,-,1,,,-,2,,,-,1,,,-,,-,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,,-,2,,2,,2,,,-,1,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,,-,3,,4,,5,,,-,1,,,-,,-,,-,0,,,-,,-,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,,-,2,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,,-,1,,3,,1,,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
HAWAII,2020,15,,-,5,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,,-,33,,32,,46,,,-,1,,1,,1,,,-,2,,,-,2,,,SOUTH ATLANTIC,20201528,
PENNSYLVANIA,2020,15,,-,4,,4,,2,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20201513,POINT (-77.838886 40.896694)
UTAH,2020,15,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20201555,POINT (-111.678222 39.323779)
COLORADO,2020,15,,-,3,,,-,1,,,-,1,,,-,1,,,-,1,,,-,,-,COLORADO,,20201550,POINT (-105.547832 38.998552)
VERMONT,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20201508,POINT (-72.662695 44.075252)
KENTUCKY,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20201540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,15,,-,17,,106,,3,,,-,3,,11,,2,,,-,2,,5,,,-,PUERTO RICO,,20201567,POINT (-66.414655 18.215692)
MAINE,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20201504,POINT (-69.06137 45.117911)
VIRGINIA,2020,15,,-,3,,4,,2,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20201536,POINT (-78.666382 37.510861)
ARIZONA,2020,15,,-,2,,3,,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20201549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201564,
WISCONSIN,2020,15,,-,2,,3,,2,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20201519,POINT (-89.732969 44.639954)
IDAHO,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,IDAHO,,20201551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201568,POINT (-64.840836 18.060868)
MICHIGAN,2020,15,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201517,POINT (-85.730977 44.874798)
GEORGIA,2020,15,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20201532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,15,,-,9,,,-,14,,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20201512,
ARKANSAS,2020,15,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20201544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,15,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20201527,POINT (-100.230491 44.43614)
WYOMING,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20201556,POINT (-107.55145 42.999627)
MISSOURI,2020,15,,-,4,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20201524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,15,,-,16,,8,,25,,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,20201509,
TOTAL,2020,11,,-,71,,166,,103,,,-,4,,13,,4,,,-,4,,2,,2,,,TOTAL,20201170,
US RESIDENTS,2020,11,,-,68,,71,,101,,,-,3,,2,,2,,,-,4,,,-,2,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,,-,4,,4,,1,,,-,1,,,-,,-,,-,0,,,-,,-,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,20,,10,,26,,,-,1,,1,,1,,,-,0,,,-,,-,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,,-,10,,9,,2,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,,-,2,,2,,2,,,-,1,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,-,4,,4,,2,,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,9,,5,,2,,,-,1,,,-,,-,,-,1,,,-,,-,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,1,,1,,,-,,-,1,,1,,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,-,1,,3,,9,,,-,1,,1,,,-,,-,0,,,-,,-,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,-,3,,3,,2,,,-,1,,,-,1,,,-,0,,,-,,-,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201129,POINT (-75.452394 38.994926)
AMERICAN SAMOA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201164,
CALIFORNIA,2020,15,,-,18,,1,,20,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,15,,-,0,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20201537,POINT (-80.613729 38.642579)
FLORIDA,2020,15,,-,27,,19,,27,,,-,0,,,-,,-,,-,2,,,-,2,,FLORIDA,,20201531,POINT (-82.420978 28.260731)
MONTANA,2020,15,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20201552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,15,,-,4,,3,,1,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20201520,
MASSACHUSETTS,2020,15,,-,3,,3,,,-,,-,1,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20201505,POINT (-71.481104 42.151077)
ALABAMA,2020,11,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,-,2,,2,,3,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,6,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,,-,7,,,-,7,,,-,1,,,-,,-,,-,1,,,-,,-,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,,-,8,,7,,9,,,-,1,,,-,1,,,-,1,,,-,,-,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,2,,2,,2,,,-,1,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,,-,2,,4,,5,,,-,2,,,-,,-,,-,0,,,-,,-,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,,-,2,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,,-,1,,3,,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,5,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,,-,33,,29,,39,,,-,2,,1,,,-,,-,2,,,-,2,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,4,,4,,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,,-,3,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,17,,94,,2,,,-,4,,11,,2,,,-,2,,2,,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20201104,POINT (-69.06137 45.117911)
