Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
SOUTH DAKOTA,2015,8,,-,2,,9,,10,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
WISCONSIN,2015,1,1,,7,,32,,1,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
TENNESSEE,2015,7,1,,2,,12,,14,,11,,,-,0,,3,,4,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
PENNSYLVANIA,2015,9,,-,6,,16,,30,,45,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
INDIANA,2015,8,,-,3,,11,,5,,12,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913, -86.149956)",
INDIANA,2015,11,,-,3,,11,,13,,22,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913, -86.149956)",
NEW HAMPSHIRE,2015,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
NEW MEXICO,2015,11,,-,1,,7,,3,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
MASSACHUSETTS,2015,14,1,,3,,9,,27,,23,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
OHIO,2015,15,5,,5,,15,,70,,81,,,-,0,,2,,3,,4,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
NEW JERSEY,2015,9,,-,0,,2,,,-,9,,,-,1,,6,,1,,1,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130571, -74.273688)",
HAWAII,2015,10,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.304852, -157.857748)",
TEXAS,2015,14,6,,7,,22,,41,,54,,,-,0,,3,,2,,6,,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
WYOMING,2015,5,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
MISSOURI,2015,16,,-,3,,13,,18,,39,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
WASHINGTON,2015,14,,-,0,,23,,12,,6,,,-,0,,2,,4,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
KANSAS,2015,10,,-,1,,4,,6,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
MASSACHUSETTS,2015,7,,-,3,,9,,,-,11,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
OHIO,2015,11,6,,5,,15,,48,,54,,,-,0,,2,,2,,3,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
PENNSYLVANIA,2015,11,1,,5,,17,,35,,59,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
CONNECTICUT,2015,2,,-,1,,3,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
MASSACHUSETTS,2015,15,,-,3,,9,,27,,25,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
VERMONT,2015,9,,-,0,,7,,3,,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"VERMONT
(43.625384, -72.517637)",
WEST VIRGINIA,2015,5,1,,0,,2,,2,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
SOUTH CAROLINA,2015,9,,-,1,,4,,8,,9,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
MAINE,2015,15,,-,1,,5,,12,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.254229, -68.985026)",
IDAHO,2015,3,,-,1,,14,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
RHODE ISLAND,2015,5,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
WASHINGTON,2015,12,3,,0,,21,,11,,4,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
WISCONSIN,2015,5,1,,7,,32,,18,,26,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
DELAWARE,2015,8,,-,0,,1,,2,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
CALIFORNIA,2015,3,1,,6,,19,,6,,11,,,-,1,,7,,,-,7,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
OKLAHOMA,2015,2,,-,1,,10,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
NORTH DAKOTA,2015,13,,-,1,,16,,3,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
NORTH DAKOTA,2015,5,,-,1,,16,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
VERMONT,2015,6,,-,0,,7,,2,,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"VERMONT
(43.625384, -72.517637)",
IOWA,2015,3,,-,4,,13,,2,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401, -93.816487)",
OHIO,2015,7,5,,6,,15,,33,,29,,,-,0,,2,,2,,3,,,-,0,,0,,,-,,-,"OHIO
(40.060212, -82.404257)",
NEVADA,2015,3,,-,0,,2,,1,,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
ALABAMA,2015,16,,-,3,,9,,61,,27,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
IOWA,2015,9,,-,4,,13,,20,,31,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401, -93.816487)",
UTAH,2015,1,2,,1,,4,,2,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.360701, -111.587128)",
KANSAS,2015,12,,-,1,,5,,13,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
IOWA,2015,2,,-,4,,13,,2,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401, -93.816487)",
PUERTO RICO,2015,1,,N,0,,0,,,N,,N,,-,6,,40,,,-,29,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.248289, -66.49989)",
NEW JERSEY,2015,12,,-,0,,1,,,-,12,,,-,1,,6,,5,,2,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130571, -74.273688)",
FLORIDA,2015,10,16,,18,,123,,113,,96,,,-,1,,5,,5,,14,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
CALIFORNIA,2015,8,4,,6,,19,,30,,8,,,-,1,,7,,,-,12,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
KANSAS,2015,11,,-,1,,4,,8,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
MASSACHUSETTS,2015,2,,-,2,,9,,,-,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
ARKANSAS,2015,6,2,,1,,12,,4,,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
TEXAS,2015,7,1,,7,,22,,9,,20,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
MISSOURI,2015,3,4,,3,,13,,11,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.635791, -92.566299)",
NEVADA,2015,7,,-,0,,2,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
ILLINOIS,2015,9,,-,2,,9,,13,,25,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
NEVADA,2015,15,,-,0,,2,,2,,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
NEW HAMPSHIRE,2015,14,1,,0,,3,,6,,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
TENNESSEE,2015,3,1,,2,,12,,9,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
SOUTH CAROLINA,2015,16,,-,1,,3,,16,,25,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
CONNECTICUT,2015,7,,-,1,,3,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
OREGON,2015,8,1,,2,,7,,17,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
RHODE ISLAND,2015,12,,-,0,,4,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
RHODE ISLAND,2015,4,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
LOUISIANA,2015,10,,-,3,,17,,25,,22,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
UTAH,2015,16,,-,2,,6,,36,,15,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.360701, -111.587128)",
WASHINGTON,2015,4,,-,0,,9,,,-,,-,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
ARIZONA,2015,15,,-,1,,3,,9,,16,,,-,0,,22,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
ALASKA,2015,8,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.845078, -147.72206)",
GUAM,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
FLORIDA,2015,3,13,,18,,123,,33,,25,,,-,1,,5,,,-,7,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
KENTUCKY,2015,9,,-,1,,6,,7,,9,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973, -84.774968)",
IDAHO,2015,4,3,,1,,14,,6,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
NEW HAMPSHIRE,2015,1,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
SOUTH CAROLINA,2015,11,2,,1,,4,,12,,12,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
NEW YORK CITY,2015,2,2,,2,,7,,2,,2,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.714268, -74.005969)",
ARKANSAS,2015,5,,-,1,,12,,2,,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
FLORIDA,2015,9,12,,18,,123,,97,,88,,,-,1,,5,,5,,14,,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
MINNESOTA,2015,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
KANSAS,2015,5,,-,1,,4,,2,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347743, -98.200778)",
RHODE ISLAND,2015,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
WYOMING,2015,15,,-,0,,4,,,-,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
IDAHO,2015,8,,-,1,,14,,7,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
WYOMING,2015,11,,-,0,,4,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
GEORGIA,2015,7,1,,4,,14,,30,,28,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
IDAHO,2015,7,,-,1,,14,,7,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
IDAHO,2015,2,1,,1,,14,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682632, -114.363727)",
NEW MEXICO,2015,2,,-,1,,7,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
PENNSYLVANIA,2015,8,1,,6,,16,,27,,36,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
ALABAMA,2015,14,,-,3,,9,,56,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
MINNESOTA,2015,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
GEORGIA,2015,5,1,,4,,14,,27,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
VERMONT,2015,2,,-,0,,7,,,-,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.625384, -72.517637)",
NEW MEXICO,2015,15,,-,1,,7,,6,,15,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520881, -106.240578)",
