loc,cases,deaths,date,Region
ANGELES CITY,24,0,1/24/2016,REGION III-CENTRAL LUZON
ANGELES CITY,22,0,1/31/2016,REGION III-CENTRAL LUZON
ANGELES CITY,18,0,2/7/2016,REGION III-CENTRAL LUZON
ANGELES CITY,24,0,2/14/2016,REGION III-CENTRAL LUZON
ANGELES CITY,12,0,2/21/2016,REGION III-CENTRAL LUZON
ANGELES CITY,21,0,2/28/2016,REGION III-CENTRAL LUZON
ANGELES CITY,12,0,3/6/2016,REGION III-CENTRAL LUZON
ANGELES CITY,6,0,3/13/2016,REGION III-CENTRAL LUZON
ANGELES CITY,4,0,3/20/2016,REGION III-CENTRAL LUZON
ANGELES CITY,10,0,3/27/2016,REGION III-CENTRAL LUZON
ANGELES CITY,11,0,4/3/2016,REGION III-CENTRAL LUZON
ANGELES CITY,9,0,4/10/2016,REGION III-CENTRAL LUZON
ANGELES CITY,6,0,4/17/2016,REGION III-CENTRAL LUZON
ANGELES CITY,1,0,4/24/2016,REGION III-CENTRAL LUZON
ANGELES CITY,3,0,5/1/2016,REGION III-CENTRAL LUZON
ANGELES CITY,1,0,5/8/2016,REGION III-CENTRAL LUZON
ANGELES CITY,4,0,5/15/2016,REGION III-CENTRAL LUZON
ANGELES CITY,7,0,5/22/2016,REGION III-CENTRAL LUZON
ANGELES CITY,1,0,5/29/2016,REGION III-CENTRAL LUZON
ANGELES CITY,0,0,6/5/2016,REGION III-CENTRAL LUZON
ANGELES CITY,0,0,6/12/2016,REGION III-CENTRAL LUZON
ANGELES CITY,0,0,6/19/2016,REGION III-CENTRAL LUZON
ANGELES CITY,1,0,6/26/2016,REGION III-CENTRAL LUZON
ANGELES CITY,2,0,7/3/2016,REGION III-CENTRAL LUZON
ANGELES CITY,9,0,7/10/2016,REGION III-CENTRAL LUZON
ANGELES CITY,5,0,7/17/2016,REGION III-CENTRAL LUZON
ANGELES CITY,10,0,7/24/2016,REGION III-CENTRAL LUZON
ANGELES CITY,6,0,7/31/2016,REGION III-CENTRAL LUZON
ANGELES CITY,11,0,8/7/2016,REGION III-CENTRAL LUZON
ANGELES CITY,19,0,8/14/2016,REGION III-CENTRAL LUZON
ANGELES CITY,38,0,8/21/2016,REGION III-CENTRAL LUZON
ANGELES CITY,23,0,8/28/2016,REGION III-CENTRAL LUZON
ANGELES CITY,63,1,9/4/2016,REGION III-CENTRAL LUZON
ANGELES CITY,53,0,9/11/2016,REGION III-CENTRAL LUZON
ANGELES CITY,42,0,9/18/2016,REGION III-CENTRAL LUZON
ANGELES CITY,59,1,9/25/2016,REGION III-CENTRAL LUZON
ANGELES CITY,46,0,10/2/2016,REGION III-CENTRAL LUZON
ANGELES CITY,41,1,10/9/2016,REGION III-CENTRAL LUZON
ANGELES CITY,24,0,10/16/2016,REGION III-CENTRAL LUZON
ANGELES CITY,41,0,10/23/2016,REGION III-CENTRAL LUZON
ANGELES CITY,32,0,10/30/2016,REGION III-CENTRAL LUZON
ANGELES CITY,49,0,11/6/2016,REGION III-CENTRAL LUZON
ANGELES CITY,37,0,11/13/2016,REGION III-CENTRAL LUZON
ANGELES CITY,43,0,11/20/2016,REGION III-CENTRAL LUZON
ANGELES CITY,23,2,11/27/2016,REGION III-CENTRAL LUZON
ANGELES CITY,16,0,12/4/2016,REGION III-CENTRAL LUZON
ANGELES CITY,53,0,12/11/2016,REGION III-CENTRAL LUZON
ANGELES CITY,52,0,12/18/2016,REGION III-CENTRAL LUZON
ANGELES CITY,28,1,12/25/2016,REGION III-CENTRAL LUZON
ANGELES CITY,41,0,1/1/2017,REGION III-CENTRAL LUZON
AURORA,37,0,1/10/2016,REGION III-CENTRAL LUZON
AURORA,15,0,1/17/2016,REGION III-CENTRAL LUZON
AURORA,14,0,1/24/2016,REGION III-CENTRAL LUZON
AURORA,21,0,1/31/2016,REGION III-CENTRAL LUZON
AURORA,18,0,2/7/2016,REGION III-CENTRAL LUZON
AURORA,8,0,2/14/2016,REGION III-CENTRAL LUZON
AURORA,10,0,2/21/2016,REGION III-CENTRAL LUZON
AURORA,5,0,2/28/2016,REGION III-CENTRAL LUZON
AURORA,6,0,3/6/2016,REGION III-CENTRAL LUZON
AURORA,10,0,3/13/2016,REGION III-CENTRAL LUZON
AURORA,5,0,3/20/2016,REGION III-CENTRAL LUZON
AURORA,3,0,3/27/2016,REGION III-CENTRAL LUZON
AURORA,2,0,4/3/2016,REGION III-CENTRAL LUZON
AURORA,8,0,4/10/2016,REGION III-CENTRAL LUZON
AURORA,5,0,4/17/2016,REGION III-CENTRAL LUZON
AURORA,4,0,4/24/2016,REGION III-CENTRAL LUZON
AURORA,4,0,5/1/2016,REGION III-CENTRAL LUZON
AURORA,1,0,5/8/2016,REGION III-CENTRAL LUZON
AURORA,0,0,5/15/2016,REGION III-CENTRAL LUZON
AURORA,1,0,5/22/2016,REGION III-CENTRAL LUZON
AURORA,3,0,5/29/2016,REGION III-CENTRAL LUZON
AURORA,0,0,6/5/2016,REGION III-CENTRAL LUZON
AURORA,2,0,6/12/2016,REGION III-CENTRAL LUZON
AURORA,9,0,6/19/2016,REGION III-CENTRAL LUZON
AURORA,2,0,6/26/2016,REGION III-CENTRAL LUZON
AURORA,5,0,7/3/2016,REGION III-CENTRAL LUZON
AURORA,21,0,7/10/2016,REGION III-CENTRAL LUZON
AURORA,14,0,7/17/2016,REGION III-CENTRAL LUZON
AURORA,22,0,7/24/2016,REGION III-CENTRAL LUZON
AURORA,9,0,7/31/2016,REGION III-CENTRAL LUZON
AURORA,11,0,8/7/2016,REGION III-CENTRAL LUZON
AURORA,12,0,8/14/2016,REGION III-CENTRAL LUZON
AURORA,24,1,8/21/2016,REGION III-CENTRAL LUZON
AURORA,17,0,8/28/2016,REGION III-CENTRAL LUZON
AURORA,14,0,9/4/2016,REGION III-CENTRAL LUZON
AURORA,15,0,9/11/2016,REGION III-CENTRAL LUZON
AURORA,15,0,9/18/2016,REGION III-CENTRAL LUZON
AURORA,12,0,9/25/2016,REGION III-CENTRAL LUZON
AURORA,7,0,10/2/2016,REGION III-CENTRAL LUZON
AURORA,9,0,10/9/2016,REGION III-CENTRAL LUZON
AURORA,18,0,10/16/2016,REGION III-CENTRAL LUZON
AURORA,7,0,10/23/2016,REGION III-CENTRAL LUZON
AURORA,12,0,10/30/2016,REGION III-CENTRAL LUZON
AURORA,6,0,11/6/2016,REGION III-CENTRAL LUZON
AURORA,6,0,11/13/2016,REGION III-CENTRAL LUZON
AURORA,6,0,11/20/2016,REGION III-CENTRAL LUZON
AURORA,3,0,11/27/2016,REGION III-CENTRAL LUZON
AURORA,7,0,12/4/2016,REGION III-CENTRAL LUZON
AURORA,5,0,12/11/2016,REGION III-CENTRAL LUZON
AURORA,7,0,12/18/2016,REGION III-CENTRAL LUZON
AURORA,1,0,12/25/2016,REGION III-CENTRAL LUZON
AURORA,1,0,1/1/2017,REGION III-CENTRAL LUZON
BATAAN,87,0,1/10/2016,REGION III-CENTRAL LUZON
BATAAN,81,0,1/17/2016,REGION III-CENTRAL LUZON
BATAAN,88,0,1/24/2016,REGION III-CENTRAL LUZON
BATAAN,92,1,1/31/2016,REGION III-CENTRAL LUZON
BATAAN,120,0,2/7/2016,REGION III-CENTRAL LUZON
BATAAN,83,0,2/14/2016,REGION III-CENTRAL LUZON
BATAAN,85,0,2/21/2016,REGION III-CENTRAL LUZON
BATAAN,50,0,2/28/2016,REGION III-CENTRAL LUZON
BATAAN,57,1,3/6/2016,REGION III-CENTRAL LUZON
BATAAN,47,0,3/13/2016,REGION III-CENTRAL LUZON
BATAAN,47,0,3/20/2016,REGION III-CENTRAL LUZON
BATAAN,37,0,3/27/2016,REGION III-CENTRAL LUZON
BATAAN,35,0,4/3/2016,REGION III-CENTRAL LUZON
BATAAN,23,0,4/10/2016,REGION III-CENTRAL LUZON
BATAAN,28,0,4/17/2016,REGION III-CENTRAL LUZON
BATAAN,13,0,4/24/2016,REGION III-CENTRAL LUZON
BATAAN,17,0,5/1/2016,REGION III-CENTRAL LUZON
BATAAN,17,0,5/8/2016,REGION III-CENTRAL LUZON
BATAAN,10,0,5/15/2016,REGION III-CENTRAL LUZON
BATAAN,9,0,5/22/2016,REGION III-CENTRAL LUZON
BATAAN,6,0,5/29/2016,REGION III-CENTRAL LUZON
BATAAN,5,0,6/5/2016,REGION III-CENTRAL LUZON
BATAAN,10,0,6/12/2016,REGION III-CENTRAL LUZON
BATAAN,9,0,6/19/2016,REGION III-CENTRAL LUZON
BATAAN,17,0,6/26/2016,REGION III-CENTRAL LUZON
BATAAN,19,0,7/3/2016,REGION III-CENTRAL LUZON
BATAAN,23,0,7/10/2016,REGION III-CENTRAL LUZON
BATAAN,20,0,7/17/2016,REGION III-CENTRAL LUZON
BATAAN,38,1,7/24/2016,REGION III-CENTRAL LUZON
BATAAN,58,1,7/31/2016,REGION III-CENTRAL LUZON
BATAAN,71,0,8/7/2016,REGION III-CENTRAL LUZON
BATAAN,75,0,8/14/2016,REGION III-CENTRAL LUZON
BATAAN,65,0,8/21/2016,REGION III-CENTRAL LUZON
BATAAN,65,0,8/28/2016,REGION III-CENTRAL LUZON
BATAAN,69,0,9/4/2016,REGION III-CENTRAL LUZON
BATAAN,82,1,9/11/2016,REGION III-CENTRAL LUZON
BATAAN,75,0,9/18/2016,REGION III-CENTRAL LUZON
BATAAN,110,1,9/25/2016,REGION III-CENTRAL LUZON
BATAAN,101,1,10/2/2016,REGION III-CENTRAL LUZON
BATAAN,123,0,10/9/2016,REGION III-CENTRAL LUZON
BATAAN,131,1,10/16/2016,REGION III-CENTRAL LUZON
BATAAN,97,0,10/23/2016,REGION III-CENTRAL LUZON
BATAAN,107,1,10/30/2016,REGION III-CENTRAL LUZON
BATAAN,146,1,11/6/2016,REGION III-CENTRAL LUZON
BATAAN,107,0,11/13/2016,REGION III-CENTRAL LUZON
BATAAN,119,0,11/20/2016,REGION III-CENTRAL LUZON
BATAAN,108,1,11/27/2016,REGION III-CENTRAL LUZON
BATAAN,98,0,12/4/2016,REGION III-CENTRAL LUZON
BATAAN,86,1,12/11/2016,REGION III-CENTRAL LUZON
BATAAN,88,0,12/18/2016,REGION III-CENTRAL LUZON
BATAAN,59,0,12/25/2016,REGION III-CENTRAL LUZON
BATAAN,79,0,1/1/2017,REGION III-CENTRAL LUZON
BATANES,0,0,1/10/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,1/17/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,1/24/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,1/31/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,2/7/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,2/14/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,2/21/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,2/28/2016,Region II-CAGAYAN VALLEY
BATANES,1,0,3/6/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,3/13/2016,Region II-CAGAYAN VALLEY
BATANES,1,0,3/20/2016,Region II-CAGAYAN VALLEY
BATANES,1,0,3/27/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,4/3/2016,Region II-CAGAYAN VALLEY
BATANES,1,0,4/10/2016,Region II-CAGAYAN VALLEY
BATANES,1,0,4/17/2016,Region II-CAGAYAN VALLEY
BATANES,1,0,4/24/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,5/1/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,5/8/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,5/15/2016,Region II-CAGAYAN VALLEY
BATANES,2,0,5/22/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,5/29/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,6/5/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,6/12/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,6/19/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,6/26/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,7/3/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,7/10/2016,Region II-CAGAYAN VALLEY
BATANES,1,0,7/17/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,7/24/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,7/31/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,8/7/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,8/14/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,8/21/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,8/28/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,9/4/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,9/11/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,9/18/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,9/25/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,10/2/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,10/9/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,10/16/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,10/23/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,10/30/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,11/6/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,11/13/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,11/20/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,11/27/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,12/4/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,12/11/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,12/18/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,12/25/2016,Region II-CAGAYAN VALLEY
BATANES,0,0,1/1/2017,Region II-CAGAYAN VALLEY
BATANGAS,116,0,1/10/2016,REGION IV-A-CALABARZON
BATANGAS,97,1,1/17/2016,REGION IV-A-CALABARZON
BATANGAS,94,1,1/24/2016,REGION IV-A-CALABARZON
BATANGAS,90,0,1/31/2016,REGION IV-A-CALABARZON
BATANGAS,73,0,2/7/2016,REGION IV-A-CALABARZON
BATANGAS,62,0,2/14/2016,REGION IV-A-CALABARZON
BATANGAS,65,0,2/21/2016,REGION IV-A-CALABARZON
BATANGAS,58,0,2/28/2016,REGION IV-A-CALABARZON
BATANGAS,53,0,3/6/2016,REGION IV-A-CALABARZON
BATANGAS,41,0,3/13/2016,REGION IV-A-CALABARZON
BATANGAS,35,1,3/20/2016,REGION IV-A-CALABARZON
BATANGAS,29,0,3/27/2016,REGION IV-A-CALABARZON
BATANGAS,23,0,4/3/2016,REGION IV-A-CALABARZON
BATANGAS,23,0,4/10/2016,REGION IV-A-CALABARZON
BATANGAS,32,0,4/17/2016,REGION IV-A-CALABARZON
BATANGAS,24,0,4/24/2016,REGION IV-A-CALABARZON
BATANGAS,25,0,5/1/2016,REGION IV-A-CALABARZON
BATANGAS,19,0,5/8/2016,REGION IV-A-CALABARZON
BATANGAS,26,0,5/15/2016,REGION IV-A-CALABARZON
BATANGAS,21,0,5/22/2016,REGION IV-A-CALABARZON
BATANGAS,26,0,5/29/2016,REGION IV-A-CALABARZON
BATANGAS,27,0,6/5/2016,REGION IV-A-CALABARZON
BATANGAS,27,0,6/12/2016,REGION IV-A-CALABARZON
BATANGAS,40,0,6/19/2016,REGION IV-A-CALABARZON
BATANGAS,85,0,6/26/2016,REGION IV-A-CALABARZON
BATANGAS,77,0,7/3/2016,REGION IV-A-CALABARZON
BATANGAS,83,0,7/10/2016,REGION IV-A-CALABARZON
BATANGAS,86,0,7/17/2016,REGION IV-A-CALABARZON
BATANGAS,135,0,7/24/2016,REGION IV-A-CALABARZON
BATANGAS,189,0,7/31/2016,REGION IV-A-CALABARZON
BATANGAS,185,0,8/7/2016,REGION IV-A-CALABARZON
BATANGAS,188,1,8/14/2016,REGION IV-A-CALABARZON
BATANGAS,236,0,8/21/2016,REGION IV-A-CALABARZON
BATANGAS,197,0,8/28/2016,REGION IV-A-CALABARZON
BATANGAS,230,1,9/4/2016,REGION IV-A-CALABARZON
BATANGAS,240,4,9/11/2016,REGION IV-A-CALABARZON
BATANGAS,203,1,9/18/2016,REGION IV-A-CALABARZON
BATANGAS,215,1,9/25/2016,REGION IV-A-CALABARZON
BATANGAS,166,2,10/2/2016,REGION IV-A-CALABARZON
BATANGAS,184,1,10/9/2016,REGION IV-A-CALABARZON
BATANGAS,183,2,10/16/2016,REGION IV-A-CALABARZON
BATANGAS,132,0,10/23/2016,REGION IV-A-CALABARZON
BATANGAS,135,0,10/30/2016,REGION IV-A-CALABARZON
BATANGAS,107,0,11/6/2016,REGION IV-A-CALABARZON
BATANGAS,156,0,11/13/2016,REGION IV-A-CALABARZON
BATANGAS,106,0,11/20/2016,REGION IV-A-CALABARZON
BATANGAS,76,0,11/27/2016,REGION IV-A-CALABARZON
BATANGAS,83,2,12/4/2016,REGION IV-A-CALABARZON
BATANGAS,89,0,12/11/2016,REGION IV-A-CALABARZON
BATANGAS,72,0,12/18/2016,REGION IV-A-CALABARZON
BATANGAS,46,0,12/25/2016,REGION IV-A-CALABARZON
BATANGAS,57,0,1/1/2017,REGION IV-A-CALABARZON
BULACAN,97,0,1/10/2016,REGION III-CENTRAL LUZON
BULACAN,58,0,1/17/2016,REGION III-CENTRAL LUZON
BULACAN,76,1,1/24/2016,REGION III-CENTRAL LUZON
BULACAN,101,0,1/31/2016,REGION III-CENTRAL LUZON
BULACAN,85,0,2/7/2016,REGION III-CENTRAL LUZON
BULACAN,105,1,2/14/2016,REGION III-CENTRAL LUZON
BULACAN,81,0,2/21/2016,REGION III-CENTRAL LUZON
BULACAN,50,0,2/28/2016,REGION III-CENTRAL LUZON
BULACAN,49,0,3/6/2016,REGION III-CENTRAL LUZON
BULACAN,29,1,3/13/2016,REGION III-CENTRAL LUZON
BULACAN,33,1,3/20/2016,REGION III-CENTRAL LUZON
BULACAN,35,0,3/27/2016,REGION III-CENTRAL LUZON
BULACAN,28,0,4/3/2016,REGION III-CENTRAL LUZON
BULACAN,40,0,4/10/2016,REGION III-CENTRAL LUZON
BULACAN,19,0,4/17/2016,REGION III-CENTRAL LUZON
BULACAN,21,0,4/24/2016,REGION III-CENTRAL LUZON
BULACAN,16,0,5/1/2016,REGION III-CENTRAL LUZON
BULACAN,11,0,5/8/2016,REGION III-CENTRAL LUZON
BULACAN,7,0,5/15/2016,REGION III-CENTRAL LUZON
BULACAN,4,0,5/22/2016,REGION III-CENTRAL LUZON
BULACAN,13,0,5/29/2016,REGION III-CENTRAL LUZON
BULACAN,15,0,6/5/2016,REGION III-CENTRAL LUZON
BULACAN,5,0,6/12/2016,REGION III-CENTRAL LUZON
BULACAN,13,0,6/19/2016,REGION III-CENTRAL LUZON
BULACAN,18,0,6/26/2016,REGION III-CENTRAL LUZON
BULACAN,45,0,7/3/2016,REGION III-CENTRAL LUZON
BULACAN,55,0,7/10/2016,REGION III-CENTRAL LUZON
BULACAN,77,0,7/17/2016,REGION III-CENTRAL LUZON
BULACAN,87,0,7/24/2016,REGION III-CENTRAL LUZON
BULACAN,156,0,7/31/2016,REGION III-CENTRAL LUZON
BULACAN,166,1,8/7/2016,REGION III-CENTRAL LUZON
BULACAN,179,0,8/14/2016,REGION III-CENTRAL LUZON
BULACAN,191,0,8/21/2016,REGION III-CENTRAL LUZON
BULACAN,177,1,8/28/2016,REGION III-CENTRAL LUZON
BULACAN,194,0,9/4/2016,REGION III-CENTRAL LUZON
BULACAN,185,0,9/11/2016,REGION III-CENTRAL LUZON
BULACAN,198,0,9/18/2016,REGION III-CENTRAL LUZON
BULACAN,171,2,9/25/2016,REGION III-CENTRAL LUZON
BULACAN,146,0,10/2/2016,REGION III-CENTRAL LUZON
BULACAN,82,0,10/9/2016,REGION III-CENTRAL LUZON
BULACAN,115,1,10/16/2016,REGION III-CENTRAL LUZON
BULACAN,103,0,10/23/2016,REGION III-CENTRAL LUZON
BULACAN,113,1,10/30/2016,REGION III-CENTRAL LUZON
BULACAN,110,1,11/6/2016,REGION III-CENTRAL LUZON
BULACAN,67,2,11/13/2016,REGION III-CENTRAL LUZON
BULACAN,32,0,11/20/2016,REGION III-CENTRAL LUZON
BULACAN,49,0,11/27/2016,REGION III-CENTRAL LUZON
BULACAN,105,1,12/4/2016,REGION III-CENTRAL LUZON
BULACAN,84,0,12/11/2016,REGION III-CENTRAL LUZON
BULACAN,69,0,12/18/2016,REGION III-CENTRAL LUZON
BULACAN,89,0,12/25/2016,REGION III-CENTRAL LUZON
BULACAN,76,0,1/1/2017,REGION III-CENTRAL LUZON
CAGAYAN,45,0,1/10/2016,Region II-CAGAYAN VALLEY
CAGAYAN,19,0,1/17/2016,Region II-CAGAYAN VALLEY
CAGAYAN,37,0,1/24/2016,Region II-CAGAYAN VALLEY
CAGAYAN,23,0,1/31/2016,Region II-CAGAYAN VALLEY
CAGAYAN,15,0,2/7/2016,Region II-CAGAYAN VALLEY
CAGAYAN,19,0,2/14/2016,Region II-CAGAYAN VALLEY
CAGAYAN,14,0,2/21/2016,Region II-CAGAYAN VALLEY
CAGAYAN,12,0,2/28/2016,Region II-CAGAYAN VALLEY
CAGAYAN,5,0,3/6/2016,Region II-CAGAYAN VALLEY
CAGAYAN,4,0,3/13/2016,Region II-CAGAYAN VALLEY
CAGAYAN,2,0,3/20/2016,Region II-CAGAYAN VALLEY
CAGAYAN,3,0,3/27/2016,Region II-CAGAYAN VALLEY
CAGAYAN,3,0,4/3/2016,Region II-CAGAYAN VALLEY
CAGAYAN,3,0,4/10/2016,Region II-CAGAYAN VALLEY
CAGAYAN,4,0,4/17/2016,Region II-CAGAYAN VALLEY
CAGAYAN,10,0,4/24/2016,Region II-CAGAYAN VALLEY
CAGAYAN,5,0,5/1/2016,Region II-CAGAYAN VALLEY
CAGAYAN,3,0,5/8/2016,Region II-CAGAYAN VALLEY
CAGAYAN,2,0,5/15/2016,Region II-CAGAYAN VALLEY
CAGAYAN,8,0,5/22/2016,Region II-CAGAYAN VALLEY
CAGAYAN,5,0,5/29/2016,Region II-CAGAYAN VALLEY
CAGAYAN,9,0,6/5/2016,Region II-CAGAYAN VALLEY
CAGAYAN,12,0,6/12/2016,Region II-CAGAYAN VALLEY
CAGAYAN,7,0,6/19/2016,Region II-CAGAYAN VALLEY
CAGAYAN,6,0,6/26/2016,Region II-CAGAYAN VALLEY
CAGAYAN,10,0,7/3/2016,Region II-CAGAYAN VALLEY
CAGAYAN,8,0,7/10/2016,Region II-CAGAYAN VALLEY
CAGAYAN,7,1,7/17/2016,Region II-CAGAYAN VALLEY
CAGAYAN,13,0,7/24/2016,Region II-CAGAYAN VALLEY
CAGAYAN,10,0,7/31/2016,Region II-CAGAYAN VALLEY
CAGAYAN,24,0,8/7/2016,Region II-CAGAYAN VALLEY
CAGAYAN,31,0,8/14/2016,Region II-CAGAYAN VALLEY
CAGAYAN,20,0,8/21/2016,Region II-CAGAYAN VALLEY
CAGAYAN,15,0,8/28/2016,Region II-CAGAYAN VALLEY
CAGAYAN,7,0,9/4/2016,Region II-CAGAYAN VALLEY
CAGAYAN,27,0,9/11/2016,Region II-CAGAYAN VALLEY
CAGAYAN,23,0,9/18/2016,Region II-CAGAYAN VALLEY
CAGAYAN,22,0,9/25/2016,Region II-CAGAYAN VALLEY
CAGAYAN,18,0,10/2/2016,Region II-CAGAYAN VALLEY
CAGAYAN,15,0,10/9/2016,Region II-CAGAYAN VALLEY
CAGAYAN,10,0,10/16/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,10/23/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,10/30/2016,Region II-CAGAYAN VALLEY
CAGAYAN,10,0,11/6/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,11/13/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,11/20/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,11/27/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,12/4/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,12/11/2016,Region II-CAGAYAN VALLEY
CAGAYAN,2,0,12/18/2016,Region II-CAGAYAN VALLEY
CAGAYAN,3,0,12/25/2016,Region II-CAGAYAN VALLEY
CAGAYAN,1,0,1/1/2017,Region II-CAGAYAN VALLEY
CAMARINES NORTE,8,0,1/10/2016,REGION V-BICOL REGION
CAMARINES NORTE,1,0,1/17/2016,REGION V-BICOL REGION
CAMARINES NORTE,3,0,1/24/2016,REGION V-BICOL REGION
